电缸2行程%,臂2角度deg,A-1角度deg_锚点到公共点,A-2角度deg_锚点到公共点,A1_A2夹角差deg,rate_臂2角度deg,rate_A-1角度deg_锚点到公共点,rate_A-2角度deg_锚点到公共点,rate_A1_A2夹角差,rate_abs_sum_A1A2,rate_rss_A1A2
42,104.4,-18.919,-154.023,135.10399999999998,-1.8000000000000043,1.4974999999999987,0.3299999999999983,1.167500000000004,1.827499999999997,1.533429571255229
43,102.6,-17.428,-153.675,136.247,-1.8000000000000043,1.4845000000000006,0.3689999999999998,1.1155000000000115,1.8535000000000004,1.5296735762900533
44,100.8,-15.95,-153.285,137.335,-1.7999999999999972,1.4705000000000004,0.41100000000000136,1.0594999999999999,1.8815000000000017,1.5268566566642732
45,99.0,-14.487,-152.853,138.366,-1.7999999999999972,1.455,0.4555000000000007,0.9994999999999976,1.9105000000000008,1.5246328246499223
46,97.2,-13.04,-152.374,139.334,-1.7999999999999972,1.4379999999999997,0.5035000000000025,0.9344999999999999,1.9415000000000022,1.5235997669991952
47,95.4,-11.611,-151.846,140.235,-1.8000000000000043,1.42,0.5545000000000044,0.8654999999999973,1.9745000000000044,1.5244245635648899
48,93.6,-10.2,-151.265,141.065,-1.8000000000000043,1.4010000000000007,0.6090000000000089,0.7919999999999874,2.0100000000000096,1.5276393553453684
49,91.8,-8.809,-150.628,141.819,-1.7999999999999972,1.3804999999999996,0.6664999999999992,0.7139999999999986,2.046999999999999,1.532971787085463
50,90.0,-7.439,-149.932,142.493,-1.7999999999999972,1.3589999999999995,0.7269999999999897,0.632000000000005,2.085999999999989,1.5412365165671307
51,88.2,-6.091,-149.174,143.083,-1.7999999999999972,1.3359999999999999,0.7909999999999968,0.5450000000000017,2.1269999999999967,1.5526032976906865
52,86.4,-4.767,-148.35,143.583,-1.8000000000000043,1.3125,0.8575000000000017,0.4549999999999983,2.1700000000000017,1.5677890483097536
53,84.6,-3.466,-147.459,143.993,-1.8000000000000043,1.2880000000000003,0.9264999999999901,0.3615000000000066,2.2144999999999904,1.5866147137852915
54,82.8,-2.191,-146.497,144.306,-1.7999999999999972,1.262,0.9980000000000047,0.2639999999999958,2.2600000000000047,1.6089275931501732
55,81.0,-0.942,-145.463,144.521,-1.7999999999999972,1.236,1.0705000000000098,0.16549999999999443,2.3065000000000095,1.6351349332700407
56,79.2,0.281,-144.356,144.637,-1.7999999999999972,1.21,1.1444999999999936,0.06550000000001432,2.3544999999999936,1.6655270186940785
57,77.4,1.478,-143.174,144.65200000000002,-1.8000000000000043,1.184,1.218999999999994,-0.03499999999999659,2.4029999999999943,1.6993578198837305
58,75.6,2.649,-141.918,144.567,-1.8000000000000043,1.158,1.2930000000000064,-0.13500000000000512,2.4510000000000063,1.73574566109209
59,73.8,3.794,-140.588,144.382,-1.7999999999999972,1.1324999999999998,1.366500000000002,-0.23400000000000887,2.499000000000002,1.7747897058525004
60,72.0,4.914,-139.185,144.099,-1.7999999999999972,1.1079999999999999,1.4394999999999953,-0.33150000000000546,2.547499999999995,1.8165418382189786
61,70.2,6.01,-137.709,143.719,-1.7999999999999972,1.084,1.5100000000000051,-0.42600000000000193,2.594000000000005,1.8588049924615588
62,68.4,7.082,-136.165,143.24699999999999,-1.8000000000000043,1.0605000000000002,1.5785000000000053,-0.5180000000000007,2.6390000000000056,1.9016630879311975
63,66.6,8.131,-134.552,142.683,-1.8000000000000043,1.0390000000000001,1.644999999999996,-0.6059999999999945,2.683999999999996,1.9456479640469362
64,64.8,9.16,-132.875,142.035,-1.7999999999999972,1.0194999999999999,1.7079999999999984,-0.6885000000000048,2.7274999999999983,1.9891315315986509
65,63.0,10.17,-131.136,141.30599999999998,-1.7999999999999972,1.0004999999999997,1.7690000000000055,-0.7685000000000031,2.769500000000005,2.0323290210987044
66,61.2,11.161,-129.337,140.498,-1.8000000000000007,0.9829999999999997,1.8264999999999958,-0.8434999999999917,2.8094999999999954,2.0742206367693825
67,59.4,12.136,-127.483,139.619,-1.8000000000000007,0.9675000000000002,1.8809999999999931,-0.9134999999999991,2.8484999999999934,2.1152345614612043
68,57.6,13.096,-125.575,138.671,-1.8000000000000007,0.9530000000000003,1.9335000000000022,-0.9805000000000064,2.8865000000000025,2.155604613559734
69,55.8,14.042,-123.616,137.658,-1.8000000000000007,0.9405000000000001,1.9819999999999993,-1.0414999999999992,2.9224999999999994,2.193824115557124
70,54.0,14.977,-121.611,136.588,-1.7999999999999972,0.9295,2.0274999999999963,-1.0979999999999848,2.9569999999999963,2.2304094915508195
71,52.2,15.901,-119.561,135.46200000000002,-1.8000000000000007,0.9199999999999999,2.0715000000000003,-1.1514999999999986,2.9915000000000003,2.2666080936059503
72,50.4,16.817,-117.468,134.285,-1.8000000000000007,0.9115000000000002,2.1125000000000043,-1.2010000000000076,3.0240000000000045,2.300758244579386
73,48.6,17.724,-115.336,133.06,-1.8000000000000007,0.9045000000000005,2.1514999999999986,-1.2469999999999999,3.055999999999999,2.3338964201523584
74,46.8,18.626,-113.165,131.791,-1.8000000000000007,0.8989999999999991,2.1884999999999977,-1.2895000000000039,3.087499999999997,2.3659529264125245
75,45.0,19.522,-110.959,130.481,-1.7999999999999972,0.894499999999999,2.2235000000000014,-1.3289999999999935,3.1180000000000003,2.3966815599908142
76,43.2,20.415,-108.718,129.133,-1.8000000000000007,0.8915000000000006,2.2575000000000003,-1.3659999999999997,3.149000000000001,2.4271544038235398
77,41.4,21.305,-106.444,127.749,-1.8000000000000007,0.8895,2.2890000000000015,-1.3995000000000033,3.1785000000000014,2.455754721058275
78,39.6,22.194,-104.14,126.334,-1.8000000000000007,0.8885000000000005,2.319499999999998,-1.4309999999999974,3.2079999999999984,2.4838503376813974
79,37.8,23.082,-101.805,124.887,-1.8000000000000007,0.8890000000000011,2.349499999999999,-1.4604999999999961,3.2385,2.5120651364962647
80,36.0,23.972,-99.441,123.41300000000001,-1.7999999999999972,0.8899999999999988,2.378,-1.4879999999999995,3.267999999999999,2.5390911759919135
81,34.2,24.862,-97.049,121.911,-1.8000000000000007,0.8919999999999995,2.4055000000000035,-1.5135000000000076,3.297500000000003,2.5655592470258832
82,32.4,25.756,-94.63,120.386,-1.8000000000000007,0.8960000000000008,2.4325000000000045,-1.5365000000000038,3.3285000000000053,2.592271638929845
83,30.6,26.654,-92.184,118.838,-1.799999999999999,0.9000000000000004,2.458999999999996,-1.5589999999999975,3.3589999999999964,2.6185264940420176
84,28.8,27.556,-89.712,117.268,-1.8000000000000007,0.9045000000000005,2.485500000000002,-1.581000000000003,3.3900000000000023,2.644963232258628
85,27.0,28.463,-87.213,115.67599999999999,-1.8000000000000007,0.910499999999999,2.511500000000005,-1.6010000000000062,3.422000000000004,2.6714495129049367
86,25.2,29.377,-84.689,114.06599999999999,-1.8000000000000007,0.9179999999999993,2.536999999999999,-1.6189999999999998,3.4549999999999983,2.6979794291283974
87,23.4,30.299,-82.139,112.43799999999999,-1.799999999999999,0.9260000000000002,2.5625,-1.636499999999998,3.4885,2.7246802105935295
88,21.6,31.229,-79.564,110.79299999999999,-1.799999999999999,0.9344999999999999,2.588000000000001,-1.653499999999994,3.522500000000001,2.7515512442983874
89,19.8,32.168,-76.963,109.131,-1.8000000000000007,0.9445000000000014,2.613499999999995,-1.6689999999999898,3.5579999999999963,2.7789318991295873
